Size: 10240, Time: 0.06373929977416992
Size: 10240, TotalTime: 0.060399532318115234, EncodingTime: 0.03354001045227051
Size: 10240, TotalTime: 0.05785560607910156, EncodingTime: 0.029169321060180664
Size: 10240, TotalTime: 0.05102705955505371, EncodingTime: 0.026592254638671875
Size: 10240, TotalTime: 0.04448437690734863, EncodingTime: 0.02212977409362793
Size: 10240, TotalTime: 0.04543495178222656, EncodingTime: 0.017570018768310547
Size: 10240, TotalTime: 0.0648038387298584, EncodingTime: 0.026512861251831055
Size: 10240, TotalTime: 0.05193305015563965, EncodingTime: 0.02681589126586914
Size: 10240, TotalTime: 0.06244039535522461, EncodingTime: 0.030300378799438477
Size: 10240, TotalTime: 0.06119275093078613, EncodingTime: 0.02393960952758789
Size: 10240, TotalTime: 0.053668975830078125, EncodingTime: 0.0286865234375
Size: 10240, TotalTime: 0.06324434280395508, EncodingTime: 0.030672550201416016
Size: 10240, TotalTime: 0.05288410186767578, EncodingTime: 0.020929813385009766
Size: 10240, TotalTime: 0.05044269561767578, EncodingTime: 0.017503976821899414
Size: 10240, TotalTime: 0.05332374572753906, EncodingTime: 0.021062135696411133
Size: 10240, TotalTime: 0.0643305778503418, EncodingTime: 0.026447057723999023
Size: 10240, TotalTime: 0.052712202072143555, EncodingTime: 0.021941661834716797
Size: 10240, TotalTime: 0.048438072204589844, EncodingTime: 0.018783092498779297
Size: 10240, TotalTime: 0.0650780200958252, EncodingTime: 0.028148651123046875
Size: 10240, TotalTime: 0.05514669418334961, EncodingTime: 0.021453857421875
Size: 10240, TotalTime: 0.04909062385559082, EncodingTime: 0.021300077438354492
Size: 10240, TotalTime: 0.06434369087219238, EncodingTime: 0.025730133056640625
Size: 10240, TotalTime: 0.05363011360168457, EncodingTime: 0.021158695220947266
Size: 10240, TotalTime: 0.054405927658081055, EncodingTime: 0.021148681640625
Size: 10240, TotalTime: 0.06429576873779297, EncodingTime: 0.028020143508911133
Size: 10240, TotalTime: 0.05353975296020508, EncodingTime: 0.019295215606689453
Size: 10240, TotalTime: 0.07328605651855469, EncodingTime: 0.021645069122314453
Size: 10240, TotalTime: 0.06250882148742676, EncodingTime: 0.02535414695739746
Size: 10240, TotalTime: 0.0647134780883789, EncodingTime: 0.02682638168334961
Size: 10240, TotalTime: 0.05842328071594238, EncodingTime: 0.025281190872192383
Size: 10240, TotalTime: 0.07101225852966309, EncodingTime: 0.028367996215820312
Size: 10240, TotalTime: 0.054125070571899414, EncodingTime: 0.02551102638244629
Size: 10240, TotalTime: 0.06525254249572754, EncodingTime: 0.027225971221923828
Size: 10240, TotalTime: 0.06645345687866211, EncodingTime: 0.026088237762451172
Size: 10240, TotalTime: 0.05494332313537598, EncodingTime: 0.02601337432861328
Size: 10240, TotalTime: 0.06416559219360352, EncodingTime: 0.028323650360107422
Size: 10240, TotalTime: 0.0639493465423584, EncodingTime: 0.02766704559326172
Size: 10240, TotalTime: 0.06057143211364746, EncodingTime: 0.026275157928466797
Size: 10240, TotalTime: 0.06577754020690918, EncodingTime: 0.02953648567199707
Size: 10240, TotalTime: 0.11071372032165527, EncodingTime: 0.06717705726623535
Size: 10240, TotalTime: 0.06595349311828613, EncodingTime: 0.028151988983154297
Size: 10240, TotalTime: 0.06364035606384277, EncodingTime: 0.026468515396118164
Size: 10240, TotalTime: 0.06433701515197754, EncodingTime: 0.02636098861694336
Size: 10240, TotalTime: 0.05832672119140625, EncodingTime: 0.020903587341308594
Size: 10240, TotalTime: 0.051421403884887695, EncodingTime: 0.0205380916595459
Size: 10240, TotalTime: 0.06492471694946289, EncodingTime: 0.025751829147338867
Size: 10240, TotalTime: 0.055559396743774414, EncodingTime: 0.02006840705871582
Size: 10240, TotalTime: 0.056932926177978516, EncodingTime: 0.020792484283447266
Size: 10240, TotalTime: 0.06926274299621582, EncodingTime: 0.02792644500732422
Size: 10240, TotalTime: 0.061875104904174805, EncodingTime: 0.02555060386657715
Size: 10240, TotalTime: 0.059218645095825195, EncodingTime: 0.021027803421020508
Size: 10240, TotalTime: 0.05180525779724121, EncodingTime: 0.020811796188354492
Size: 10240, TotalTime: 0.07336306571960449, EncodingTime: 0.028180837631225586
Size: 10240, TotalTime: 0.05988764762878418, EncodingTime: 0.024663686752319336
Size: 10240, TotalTime: 0.07018518447875977, EncodingTime: 0.02929210662841797
Size: 10240, TotalTime: 0.06928396224975586, EncodingTime: 0.028583765029907227
Size: 10240, TotalTime: 0.0575864315032959, EncodingTime: 0.026531696319580078
Size: 10240, TotalTime: 0.06736278533935547, EncodingTime: 0.02653813362121582
Size: 10240, TotalTime: 0.07118773460388184, EncodingTime: 0.029787778854370117
Size: 10240, TotalTime: 0.07171463966369629, EncodingTime: 0.030141830444335938
Size: 10240, TotalTime: 0.0663750171661377, EncodingTime: 0.026511192321777344
Size: 10240, TotalTime: 0.0653681755065918, EncodingTime: 0.02570819854736328
Size: 10240, TotalTime: 0.06709837913513184, EncodingTime: 0.02623295783996582
Size: 10240, TotalTime: 0.06352806091308594, EncodingTime: 0.028850555419921875
Size: 10240, TotalTime: 0.06265854835510254, EncodingTime: 0.02590012550354004
Size: 10240, TotalTime: 0.055629730224609375, EncodingTime: 0.026929616928100586
Size: 10240, TotalTime: 0.05479288101196289, EncodingTime: 0.021454334259033203
Size: 10240, TotalTime: 0.05922508239746094, EncodingTime: 0.020396947860717773
Size: 10240, TotalTime: 0.06168222427368164, EncodingTime: 0.028692960739135742
Size: 10240, TotalTime: 0.05610394477844238, EncodingTime: 0.02402019500732422
Size: 10240, TotalTime: 0.06385469436645508, EncodingTime: 0.026194095611572266
Size: 10240, TotalTime: 0.06901812553405762, EncodingTime: 0.028411865234375
Size: 10240, TotalTime: 0.06153702735900879, EncodingTime: 0.02909231185913086
Size: 10240, TotalTime: 0.055248260498046875, EncodingTime: 0.01944899559020996
Size: 10240, TotalTime: 0.04877042770385742, EncodingTime: 0.021348237991333008
